ident,iata_code
BG-JAM,JAM
BGAA,JEG
BGAP,LLU
BGAT,QGQ
BGBW,UAK
BGCH,JCH
BGCO,CNP
BGDU,DUN
BGET,QFG
BGGH,GOH
BGGN,JGO
BGIG,QFI
BGIK,QRY
BGIL,XIQ
BGIT,QJI
BGJH,JJU
BGJN,JAV
BGKA,QPW
BGKK,KUS
BGKS,KGQ
BGKT,QJE
BGMQ,JSU
BGNN,JNN
BGNS,JNS
BGP,BGP
BGPT,JFR
BGQE,QQT
BGQQ,NAQ
BGSC,OBY
BGSF,SFJ
BGSO,QOQ
BGSS,JHS
BGTL,THU
BGTN,TQI
BGUK,JUV
BGUM,UMD
BGUQ,JQA
BHL,BHL
BHT,BHT
BIAR,AEY
BIBD,BIU
BIBF,BGJ
BIBK,BJD
BIBL,BLO
BIBR,BQD
BIBV,BXV
BIDV,DJU
BIEG,EGS
BIFF,FAS
BIFM,FAG
BIGF,GUU
BIGJ,GJR
BIGR,GRY
BIHK,HVK
BIHN,HFN
BIHT,FLI
BIHU,HZK
BIHV,HVM
BIID,HLO
BIIS,IFJ
BIJ,BIJ
BIKF,KEF
BIKP,OPA
BIKR,SAK
BINF,NOR
BIOF,OFJ
BIPA,PFJ
BIRE,RHA
BIRF,OLI
BIRG,RFN
BIRK,RKV
BIRL,MVA
BISI,SIJ
BIST,SYK
BITE,TEY
BITN,THO
BIVM,VEY
BIVO,VPN
BIZ,BIZ
BJE,BJE
BJQ,BJQ
BJT,BJT
BKPR,PRN
BMH,BMH
BMQ,BMQ
BMZ,BMZ
BNF,BNF
BNM,BNM
BNQ,BNQ
BNT,BNT
BNV,BNV
BNZ,BNZ
BO-0001,RBQ
BO-BVL,BVL
BOF,BOF
BOK,BOK
BOQ,BOQ
BOT,BOT
BOV,BOV
BPF,BPF
BQV,BQV
BR-0015,TUZ
BR-ALT,ALT
BR-SWM,SWM
BRG,BRG
BS-NSB,NSB
BSP,BSP
BSV,BSV
BUL,BUL
BVP,BVP
BVR,BVR
BW-HUK,HUK
BWJ,BWJ
BWP,BWP
BXL,BXL
BXZ,BXZ
BYA,BYA
BYL,BYL
BYV,BYV
BZ-BCV,BCV
BZ-BGK,BGK
BZ-CUK,CUK
BZ-CYC,CYC
BZ-CZH,CZH
BZ-DGA,DGA
BZ-INB,INB
BZ-MDB,MDB
BZ-ORZ,ORZ
BZ-PLJ,PLJ
BZ-PND,PND
BZ-SJX,SJX
BZ-SPR,SPR
BZ-SQS,SQS
BZ-STU,STU
BZ-SVK,SVK
BZ-TZA,TZA
BZB,BZB
BZM,BZM
BZS,BZS
CA-0053,YYS
CA-0095,YLM
CA-0112,YGY
CA-0201,YUJ
CA-0213,YWO
CA-0241,YAD
CA-0245,YMD
CA-0274,YDE
CA-0313,YYI
CA-0322,YSV
CA-0378,YTJ
CA-0412,YWN
CA-0446,YRR
CA-0504,YMV
CAB3,YBW
CAB4,YTP
CAB5,YBM
CAC3,ZAA
CAC8,ZNA
CAD4,YZZ
CAD5,YMB
CAE3,YHH
CAE5,YWS
CAE9,YBF
CAF6,YIG
CAG3,CJH
CAG8,YPT
CAH2,ZOF
CAH3,YCA
CAJ3,CFQ
CAJ4,YAA
CAL3,DGF
CAL4,JHL
CAL9,ZTS
CAM3,DUQ
CAN8,YPI
CAP3,YHS
CAP7,YKK
CAQ8,WPL
CAT4,XQU
CAT5,YMP
CAU8,YRN
CAV5,YTG
CAV7,YMU
CAW7,YAV
CAW8,YSX
CAX6,YGG
CAY4,YTB
CAZ5,YZA
CBBC,ZEL
CBC,CBC
CBM5,YTX
CBS8,YPB
CBW4,YBO
CBX5,TNS
CBX7,TUX
CCA6,YWM
CCD4,YSO
CCE4,YBI
CCK4,YFX
CCP4,YHA
CCZ2,YRG
CDK2,DVK
CDL7,JOJ
CEB5,ZFW
CEC4,YJP
CEM3,YLE
CEQ5,YGC
CER3,YDC
CER4,NML
CET2,CFM
CEW3,ZSP
CFA7,GSL
CFC4,XMP
CFF4,DAS
CFG6,YFI
CFJ2,YFJ
CFM4,YOE
CFQ4,TIL
CG-OKG,OKG
CGA,CGA
CGC,CGC
CGG,CGG
CGT,CGT
CHP,CHP
CIV,CIV
CJC8,LRQ
CJL2,YDJ
CJL8,YDU
CJN8,YFL
CJS3,XCL
CJT3,YKE
CJV7,SUR
CJX,CKD
CJY3,YTT
CKB6,YAX
CKL3,WNN
CKM8,YBS
CKQ3,YNO
CKR,CKR
CKU,CKU
CKV4,YDW
CKX,CKX
CLC,CLC
CLG,CLG
CMT,CMT
CMZ,CMZ
CN-0005,TVS
CN-0010,INC
CN-0011,YNT
CN-0012,YUA
CN-0024,ZQZ
CN-0027,BSD
CN-0034,DZU
CN-0040,LNJ
CN-0046,RKZ
CN-0050,PZI
CN-0051,ZKL
CN-0061,FUO
CN-0062,BZX
CN-0067,XAI
CN-0068,HUZ
CN-0079,HSC
CN-0081,JGS
CN-0082,AEB
CN-0091,DOY
CN-0104,XEN
CN-0113,AAT
CN-0130,THQ
CN-0143,YZY
CN-0189,DDG
CN-NTG,NTG
CNE3,XBE
CNH2,YNP
CNJ8,YWR
CNK4,YPD
CNL3,XBR
CNM5,KIF
CNT3,YOG
CO-0039,PRM
CO-ARQ,ARQ
CO-LCR,LCR
CO-SNT,SNT
CO-TCD,TCD
CPF2,YEB
CPI,CPI
CPS9,YSI
CPV7,YHP
CPV8,KEW
CSB2,YSA
CSH4,YLS
CSK6,YNX
CSR8,SSQ
CSU2,YKU
CT88,EHT
CTB6,ZTB
CTK6,ZKG
CTM3,YWQ
CTP9,YAU
CTR7,TR7
CTT5,ZGS
CTU2,YFG
CTU4,YGA
CTU5,ZLT
CU-0003,PST
CUJ,CUJ
CVH,HLI
CVL,CVL
CVR,CVR
CXC,CXC
CY-0002,GEC
CY-NIC,NIC
CYAB,YAB
CYAC,YAC
CYAD,YAR
CYAG,YAG
CYAH,YAH
CYAL,YAL
CYAM,YAM
CYAQ,XKS
CYAS,YKG
CYAT,YAT
CYAY,YAY
CYAZ,YAZ
CYBA,YBA
CYBB,YBB
CYBC,YBC
CYBD,QBC
CYBE,YBE
CYBF,YBY
CYBG,YBG
CYBK,YBK
CYBL,YBL
CYBQ,XTL
CYBR,YBR
CYBT,YBT
CYBV,YBV
CYBX,YBX
CYCA,YRF
CYCB,YCB
CYCC,YCC
CYCD,YCD
CYCE,YCE
CYCG,YCG
CYCH,YCH
CYCK,XCM
CYCL,YCL
CYCN,YCN
CYCO,YCO
CYCQ,YCQ
CYCR,YCR
CYCS,YCS
CYCT,YCT
CYCV,YCV
CYCW,YCW
CYCY,YCY
CYCZ,YCZ
CYDA,YDA
CYDB,YDB
CYDF,YDF
CYDL,YDL
CYDM,XRR
CYDN,YDN
CYDO,YDO
CYDP,YDP
CYDQ,YDQ
CYEG,YEG
CYEK,YEK
CYEL,YEL
CYEM,YEM
CYEN,YEN
CYER,YER
CYET,YET
CYEU,YEU
CYEV,YEV
CYEY,YEY
CYFA,YFA
CYFB,YFB
CYFC,YFC
CYFE,YFE
CYFH,YFH
CYFJ,YTM
CYFO,YFO
CYFR,YFR
CYFS,YFS
CYFT,YMN
CYGB,YGB
CYGH,YGH
CYGK,YGK
CYGL,YGL
CYGM,YGM
CYGO,YGO
CYGP,YGP
CYGQ,YGQ
CYGR,YGR
CYGT,YGT
CYGV,YGV
CYGW,YGW
CYGX,YGX
CYGZ,YGZ
CYHA,YQC
CYHB,YHB
CYHC,CXH
CYHD,YHD
CYHE,YHE
CYHF,YHF
CYHH,YNS
CYHI,YHI
CYHK,YHK
CYHM,YHM
CYHN,YHN
CYHO,YHO
CYHR,YHR
CYHT,YHT
CYHU,YHU
CYHY,YHY
CYHZ,YHZ
CYIB,YIB
CYID,YDG
CYIF,YIF
CYIK,YIK
CYIO,YIO
CYIV,YIV
CYJA,YJA
CYJF,YJF
CYJN,YJN
CYJT,YJT
CYKA,YKA
CYKC,YKC
CYKD,LAK
CYKF,YKF
CYKG,YWB
CYKJ,YKJ
CYKL,YKL
CYKM,YKD
CYKO,AKV
CYKQ,YKQ
CYKX,YKX
CYKY,YKY
CYKZ,YKZ
CYLA,YPJ
CYLB,YLB
CYLC,YLC
CYLD,YLD
CYLH,YLH
CYLJ,YLJ
CYLK,YSG
CYLL,YLL
CYLQ,YLQ
CYLR,YLR
CYLS,YLK
CYLT,YLT
CYLU,XGR
CYLW,YLW
CYM,CYM
CYMA,YMA
CYME,YME
CYMG,YMG
CYMH,YMH
CYMJ,YMJ
CYML,YML
CYMM,YMM
CYMO,YMO
CYMT,YMT
CYMU,YUD
CYMW,YMW
CYMX,YMX
CYNA,YNA
CYNC,YNC
CYND,YND
CYNE,YNE
CYNH,YNH
CYNJ,YLY
CYNL,YNL
CYNM,YNM
CYNR,HZP
CYOA,YOA
CYOC,YOC
CYOD,YOD
CYOH,YOH
CYOJ,YOJ
CYOO,YOO
CYOP,YOP
CYOS,YOS
CYOW,YOW
CYOY,YOY
CYPA,YPA
CYPC,YPC
CYPD,YPS
CYPE,YPE
CYPG,YPG
CYPH,YPH
CYPL,YPL
CYPM,YPM
CYPN,YPN
CYPO,YPO
CYPQ,YPQ
CYPR,YPR
CYPW,YPW
CYPX,YPX
CYPY,YPY
CYPZ,YPZ
CYQA,YQA
CYQB,YQB
CYQD,YQD
CYQF,YQF
CYQG,YQG
CYQH,YQH
CYQI,YQI
CYQK,YQK
CYQL,YQL
CYQM,YQM
CYQN,YQN
CYQQ,YQQ
CYQR,YQR
CYQS,YQS
CYQT,YQT
CYQU,YQU
CYQV,YQV
CYQW,YQW
CYQX,YQX
CYQY,YQY
CYQZ,YQZ
CYRA,YRA
CYRB,YRB
CYRI,YRI
CYRJ,YRJ
CYRL,YRL
CYRM,YRM
CYRO,YRO
CYRQ,YRQ
CYRS,YRS
CYRT,YRT
CYRV,YRV
CYSB,YSB
CYSC,YSC
CYSD,YSD
CYSE,YSE
CYSF,YSF
CYSH,YSH
CYSJ,YSJ
CYSK,YSK
CYSL,YSL
CYSM,YSM
CYSN,YCM
CYSP,YSP
CYST,YST
CYSU,YSU
CYSY,YSY
CYTA,YTA
CYTE,YTE
CYTF,YTF
CYTH,YTH
CYTL,YTL
CYTQ,YTQ
CYTR,YTR
CYTS,YTS
CYTZ,YTZ
CYUB,YUB
CYUL,YUL
CYUT,YUT
CYUX,YUX
CYUY,YUY
CYVB,YVB
CYVC,YVC
CYVG,YVG
CYVK,YVE
CYVL,YCK
CYVM,YVM
CYVO,YVO
CYVP,YVP
CYVQ,YVQ
CYVR,YVR
CYVT,YVT
CYVV,YVV
CYVZ,YVZ
CYWA,YWA
CYWG,YWG
CYWH,YWH
CYWJ,YWJ
CYWK,YWK
CYWL,YWL
CYWP,YWP
CYWY,YWY
CYXC,YXC
CYXD,YXD
CYXE,YXE
CYXH,YXH
CYXI,YXI
CYXJ,YXJ
CYXK,YXK
CYXL,YXL
CYXN,YXN
CYXP,YXP
CYXQ,YXQ
CYXR,YXR
CYXS,YXS
CYXT,YXT
CYXU,YXU
CYXX,YXX
CYXY,YXY
CYXZ,YXZ
CYYB,YYB
CYYC,YYC
CYYD,YYD
CYYE,YYE
CYYF,YYF
CYYG,YYG
CYYH,YYH
CYYJ,YYJ
CYYL,YYL
CYYM,YYM
CYYN,YYN
CYYQ,YYQ
CYYR,YYR
CYYT,YYT
CYYU,YYU
CYYW,YYW
CYYY,YYY
CYYZ,YYZ
CYZE,YZE
CYZF,YZF
CYZG,YZG
CYZH,YZH
CYZP,YZP
CYZR,YZR
CYZS,YZS
CYZT,YZT
CYZU,YZU
CYZV,YZV
CYZW,YZW
CYZX,YZX
CZAC,ZAC
CZAM,YSN
CZBB,YDT
CZBD,ILF
CZBF,ZBF
CZBM,ZBM
CZEE,KES
CZEM,ZEM
CZFA,ZFA
CZFD,ZFD
CZFG,XPK
CZFM,ZFM
CZFN,ZFN
CZGF,ZGF
CZGI,ZGI
CZGR,ZGR
CZHP,ZHP
CZJ,CZJ
CZJG,ZJG
CZJN,ZJN
CZK,CZK
CZKE,ZKE
CZLQ,YTD
CZMD,MSA
CZML,ZMH
CZMN,PIW
CZMT,ZMT
CZN,CZN
CZNG,XPP
CZO,CZO
CZPB,ZPB
CZPC,WPC
CZPO,ZPO
CZRJ,ZRJ
CZSJ,ZSJ
CZSN,XSI
CZST,ZST
CZSW,ZSW
CZTA,YDV
CZTM,ZTM
CZUC,ZUC
CZUM,ZUM
CZWH,XLB
CZWL,ZWL
D38,IUA
D66,DJN
DA14,MQV
DAAB,QLD
DAAD,BUJ
